call_id,call_start_datetime,call_end_datetime,contact_category,transcript
CALL_0027,2025-01-01T17:40:00,2025-01-01T17:49:00,plan change,"Customer: I’m really frustrated and honestly fed up because I want to move to a cheaper plan. Agent: Thanks for explaining that, let me check your account. Customer: I’ve heard that before and nothing changes."
CALL_0028,2025-01-01T18:00:00,2025-01-01T18:15:00,general enquiry,"Customer: Hey, I’m calling to confirm some information because I want to understand my current plan. Agent: Thanks for explaining that, let me check your account. Customer: I appreciate you clearing that up."
CALL_0029,2025-01-01T18:20:00,2025-01-01T18:25:00,technical support,"Customer: Hello, I just wanted to check a small detail because my modem keeps rebooting. Agent: I can see why that would be frustrating. Customer: Okay, that makes sense, thanks for explaining."
CALL_0030,2025-01-01T18:40:00,2025-01-01T18:46:00,plan change,"Customer: Good morning, I’m pretty happy overall but had a quick question because I want to move to a cheaper plan. Agent: I appreciate your patience, I’ll do my best to help. Customer: Thanks, that answers my question."
CALL_0031,2025-01-01T19:00:00,2025-01-01T19:05:00,technical support,"Customer: This is getting beyond a joke because the router lights look wrong. Agent: I understand, I’ll look into this for you now. Customer: You’re not actually fixing the problem."
CALL_0032,2025-01-01T19:20:00,2025-01-01T19:37:00,general enquiry,Customer: I’m extremely unhappy with the service because I want to know my upgrade options. Agent: Let me review the details and see what’s going on. Customer: You’re not actually fixing the problem.
CALL_0033,2025-01-01T19:40:00,2025-01-01T19:56:00,technical support,"Customer: Hi there, I’m calling because everything has been working well because the router lights look wrong. Agent: I can see why that would be frustrating. Customer: Okay, that makes sense, thanks for explaining."
CALL_0034,2025-01-01T20:00:00,2025-01-01T20:11:00,complaint handling,"Customer: Hello, I just wanted to check a small detail because this issue was meant to be resolved. Agent: I appreciate your patience, I’ll do my best to help. Customer: I appreciate you clearing that up."
CALL_0035,2025-01-01T20:20:00,2025-01-01T20:37:00,billing enquiry,"Customer: This is getting beyond a joke because my discount has disappeared. Agent: I understand, I’ll look into this for you now. Customer: This is exactly why I’m so annoyed."
CALL_0036,2025-01-01T20:40:00,2025-01-01T20:57:00,general enquiry,"Customer: I’m angry because this keeps happening because I want to understand my current plan. Agent: I appreciate your patience, I’ll do my best to help. Customer: That’s not good enough."
CALL_0037,2025-01-01T21:00:00,2025-01-01T21:11:00,general enquiry,"Customer: Hello, I just wanted to check a small detail because I want to know my upgrade options. Agent: Let me review the details and see what’s going on. Customer: I appreciate you clearing that up."
CALL_0038,2025-01-01T21:20:00,2025-01-01T21:30:00,billing enquiry,"Customer: I’m really frustrated and honestly fed up because my discount has disappeared. Agent: Thanks for explaining that, let me check your account. Customer: I’ve heard that before and nothing changes."
CALL_0039,2025-01-01T21:40:00,2025-01-01T21:47:00,network fault,"Customer: I’m extremely unhappy with the service because I have no service at all right now. Agent: I understand, I’ll look into this for you now. Customer: You’re not actually fixing the problem."
CALL_0040,2025-01-01T22:00:00,2025-01-01T22:04:00,network fault,"Customer: Hi there, I’m calling because everything has been working well because the NBN connection is unstable every night. Agent: Thanks for explaining that, let me check your account. Customer: Okay, that makes sense, thanks for explaining."
CALL_0041,2025-01-01T22:20:00,2025-01-01T22:25:00,plan change,"Customer: I’m angry because this keeps happening because I recently changed plans. Agent: I appreciate your patience, I’ll do my best to help. Customer: I’ve heard that before and nothing changes."
CALL_0042,2025-01-01T22:40:00,2025-01-01T22:45:00,complaint handling,"Customer: Hi there, I’m calling because everything has been working well because this issue was meant to be resolved. Agent: Let me review the details and see what’s going on. Customer: Okay, that makes sense, thanks for explaining."
CALL_0043,2025-01-01T23:00:00,2025-01-01T23:14:00,plan change,"Customer: Hey, I’m calling to confirm some information because I recently changed plans. Agent: Let me review the details and see what’s going on. Customer: Okay, that makes sense, thanks for explaining."
CALL_0044,2025-01-01T23:20:00,2025-01-01T23:28:00,plan change,"Customer: I’m extremely unhappy with the service because I upgraded but nothing has changed yet. Agent: I understand, I’ll look into this for you now. Customer: I’ve heard that before and nothing changes."
CALL_0045,2025-01-01T23:40:00,2025-01-01T23:44:00,service activation,"Customer: Good morning, I’m pretty happy overall but had a quick question because activation was promised but hasn’t happened. Agent: Thanks for explaining that, let me check your account. Customer: Thanks, that answers my question."
CALL_0046,2025-01-02T00:00:00,2025-01-02T00:18:00,service activation,"Customer: Hi there, I’m calling because everything has been working well because activation was promised but hasn’t happened. Agent: I understand, I’ll look into this for you now. Customer: I appreciate you clearing that up."
CALL_0047,2025-01-02T00:20:00,2025-01-02T00:31:00,network fault,"Customer: Hello, I just wanted to check a small detail because the NBN connection is unstable every night. Agent: I understand, I’ll look into this for you now. Customer: That sounds reasonable to me."
CALL_0048,2025-01-02T00:40:00,2025-01-02T00:58:00,complaint handling,"Customer: I’m angry because this keeps happening because I was promised a callback. Agent: Thanks for explaining that, let me check your account. Customer: That’s not good enough."
CALL_0049,2025-01-02T01:00:00,2025-01-02T01:08:00,billing enquiry,Customer: I’m really frustrated and honestly fed up because I’ve been charged for something I didn’t agree to. Agent: I can see why that would be frustrating. Customer: That’s not good enough.
CALL_0050,2025-01-02T01:20:00,2025-01-02T01:31:00,plan change,"Customer: Good morning, I’m pretty happy overall but had a quick question because I upgraded but nothing has changed yet. Agent: I appreciate your patience, I’ll do my best to help. Customer: I appreciate you clearing that up."
CALL_0051,2025-01-02T01:40:00,2025-01-02T01:44:00,network fault,"Customer: Hi there, I’m calling because everything has been working well because the NBN connection is unstable every night. Agent: Thanks for explaining that, let me check your account. Customer: Thanks, that answers my question."
CALL_0052,2025-01-02T02:00:00,2025-01-02T02:15:00,network fault,"Customer: Good morning, I’m pretty happy overall but had a quick question because I have no service at all right now. Agent: I appreciate your patience, I’ll do my best to help. Customer: I appreciate you clearing that up."
CALL_0053,2025-01-02T02:20:00,2025-01-02T02:24:00,service activation,"Customer: Hi there, I’m calling because everything has been working well because the new connection date keeps changing. Agent: I appreciate your patience, I’ll do my best to help. Customer: Okay, that makes sense, thanks for explaining."
CALL_0054,2025-01-02T02:40:00,2025-01-02T02:44:00,complaint handling,"Customer: I’m angry because this keeps happening because no one followed up on my case. Agent: I understand, I’ll look into this for you now. Customer: I’ve heard that before and nothing changes."
CALL_0055,2025-01-02T03:00:00,2025-01-02T03:14:00,network fault,"Customer: I’m really frustrated and honestly fed up because the mobile signal keeps dropping. Agent: I understand, I’ll look into this for you now. Customer: This is exactly why I’m so annoyed."
CALL_0056,2025-01-02T03:20:00,2025-01-02T03:37:00,general enquiry,"Customer: I’m angry because this keeps happening because I just need clarification on my inclusions. Agent: I understand, I’ll look into this for you now. Customer: You’re not actually fixing the problem."
CALL_0057,2025-01-02T03:40:00,2025-01-02T03:56:00,billing enquiry,"Customer: Hi, thanks for taking my call today because I’ve been charged for something I didn’t agree to. Agent: I can see why that would be frustrating. Customer: Okay, that makes sense, thanks for explaining."
CALL_0058,2025-01-02T04:00:00,2025-01-02T04:17:00,service activation,"Customer: Good morning, I’m pretty happy overall but had a quick question because my service still isn’t active. Agent: Let me review the details and see what’s going on. Customer: I appreciate you clearing that up."
CALL_0059,2025-01-02T04:20:00,2025-01-02T04:28:00,general enquiry,Customer: This is getting beyond a joke because I want to know my upgrade options. Agent: I can see why that would be frustrating. Customer: I’ve heard that before and nothing changes.
CALL_0060,2025-01-02T04:40:00,2025-01-02T04:49:00,complaint handling,"Customer: Hello, I just wanted to check a small detail because this issue was meant to be resolved. Agent: Let me review the details and see what’s going on. Customer: Okay, that makes sense, thanks for explaining."
CALL_0061,2025-01-02T05:00:00,2025-01-02T05:09:00,network fault,"Customer: Good morning, I’m pretty happy overall but had a quick question because I have no service at all right now. Agent: I appreciate your patience, I’ll do my best to help. Customer: That sounds reasonable to me."
CALL_0062,2025-01-02T05:20:00,2025-01-02T05:25:00,general enquiry,"Customer: Good morning, I’m pretty happy overall but had a quick question because I’m checking contract end dates. Agent: Thanks for explaining that, let me check your account. Customer: I appreciate you clearing that up."
CALL_0063,2025-01-02T05:40:00,2025-01-02T05:52:00,plan change,"Customer: I’m extremely unhappy with the service because the plan change hasn’t taken effect. Agent: I appreciate your patience, I’ll do my best to help. Customer: This is exactly why I’m so annoyed."
CALL_0064,2025-01-02T06:00:00,2025-01-02T06:15:00,general enquiry,"Customer: I’m angry because this keeps happening because I’m checking contract end dates. Agent: Thanks for explaining that, let me check your account. Customer: I’ve heard that before and nothing changes."
CALL_0065,2025-01-02T06:20:00,2025-01-02T06:25:00,service activation,"Customer: Hey, I’m calling to confirm some information because activation was promised but hasn’t happened. Agent: Let me review the details and see what’s going on. Customer: I appreciate you clearing that up."
CALL_0066,2025-01-02T06:40:00,2025-01-02T06:52:00,technical support,Customer: I’m angry because this keeps happening because my modem keeps rebooting. Agent: I can see why that would be frustrating. Customer: This is exactly why I’m so annoyed.
CALL_0067,2025-01-02T07:00:00,2025-01-02T07:06:00,network fault,"Customer: I’m extremely unhappy with the service because the NBN connection is unstable every night. Agent: I appreciate your patience, I’ll do my best to help. Customer: You’re not actually fixing the problem."
CALL_0068,2025-01-02T07:20:00,2025-01-02T07:32:00,billing enquiry,Customer: I’ve lost my patience at this point because there’s an extra fee that no one can explain. Agent: Let me review the details and see what’s going on. Customer: I’ve heard that before and nothing changes.
CALL_0069,2025-01-02T07:40:00,2025-01-02T07:56:00,complaint handling,"Customer: Good morning, I’m pretty happy overall but had a quick question because this issue was meant to be resolved. Agent: Let me review the details and see what’s going on. Customer: That sounds reasonable to me."
CALL_0070,2025-01-02T08:00:00,2025-01-02T08:12:00,plan change,"Customer: I’ve lost my patience at this point because the plan change hasn’t taken effect. Agent: I understand, I’ll look into this for you now. Customer: You’re not actually fixing the problem."
CALL_0071,2025-01-02T08:20:00,2025-01-02T08:37:00,service activation,"Customer: Hi there, I’m calling because everything has been working well because activation was promised but hasn’t happened. Agent: Thanks for explaining that, let me check your account. Customer: That sounds reasonable to me."
CALL_0072,2025-01-02T08:40:00,2025-01-02T08:44:00,complaint handling,"Customer: Good morning, I’m pretty happy overall but had a quick question because this issue was meant to be resolved. Agent: I understand, I’ll look into this for you now. Customer: I appreciate you clearing that up."
CALL_0073,2025-01-02T09:00:00,2025-01-02T09:18:00,general enquiry,"Customer: Hi, thanks for taking my call today because I want to know my upgrade options. Agent: Let me review the details and see what’s going on. Customer: Okay, that makes sense, thanks for explaining."
CALL_0074,2025-01-02T09:20:00,2025-01-02T09:26:00,technical support,"Customer: Hi, thanks for taking my call today because the router lights look wrong. Agent: I understand, I’ll look into this for you now. Customer: Thanks, that answers my question."
CALL_0075,2025-01-02T09:40:00,2025-01-02T09:56:00,technical support,"Customer: Hi there, I’m calling because everything has been working well because the app isn’t working properly. Agent: I understand, I’ll look into this for you now. Customer: Thanks, that answers my question."
CALL_0076,2025-01-02T10:00:00,2025-01-02T10:06:00,technical support,Customer: I’m really frustrated and honestly fed up because my modem keeps rebooting. Agent: Let me review the details and see what’s going on. Customer: I’ve heard that before and nothing changes.
CALL_0077,2025-01-02T10:20:00,2025-01-02T10:37:00,complaint handling,"Customer: I’m angry because this keeps happening because no one followed up on my case. Agent: I appreciate your patience, I’ll do my best to help. Customer: This is exactly why I’m so annoyed."
CALL_0078,2025-01-02T10:40:00,2025-01-02T10:51:00,technical support,Customer: I’m angry because this keeps happening because the app isn’t working properly. Agent: Let me review the details and see what’s going on. Customer: You’re not actually fixing the problem.
CALL_0079,2025-01-02T11:00:00,2025-01-02T11:11:00,network fault,"Customer: Good morning, I’m pretty happy overall but had a quick question because the mobile signal keeps dropping. Agent: I can see why that would be frustrating. Customer: Thanks, that answers my question."
CALL_0080,2025-01-02T11:20:00,2025-01-02T11:38:00,general enquiry,Customer: This is getting beyond a joke because I’m checking contract end dates. Agent: I can see why that would be frustrating. Customer: This is exactly why I’m so annoyed.
CALL_0081,2025-01-02T11:40:00,2025-01-02T11:55:00,plan change,"Customer: Hello, I just wanted to check a small detail because I want to move to a cheaper plan. Agent: Let me review the details and see what’s going on. Customer: I appreciate you clearing that up."
CALL_0082,2025-01-02T12:00:00,2025-01-02T12:12:00,billing enquiry,"Customer: Hi there, I’m calling because everything has been working well because my discount has disappeared. Agent: I can see why that would be frustrating. Customer: Thanks, that answers my question."
CALL_0083,2025-01-02T12:20:00,2025-01-02T12:38:00,service activation,Customer: I’m really frustrated and honestly fed up because I’m waiting for my service to go live. Agent: Let me review the details and see what’s going on. Customer: I’ve heard that before and nothing changes.
CALL_0084,2025-01-02T12:40:00,2025-01-02T12:49:00,complaint handling,"Customer: Hey, I’m calling to confirm some information because no one followed up on my case. Agent: Thanks for explaining that, let me check your account. Customer: Thanks, that answers my question."
CALL_0085,2025-01-02T13:00:00,2025-01-02T13:08:00,network fault,"Customer: I’ve lost my patience at this point because I have no service at all right now. Agent: I understand, I’ll look into this for you now. Customer: I’ve heard that before and nothing changes."
CALL_0086,2025-01-02T13:20:00,2025-01-02T13:35:00,service activation,Customer: I’m really frustrated and honestly fed up because activation was promised but hasn’t happened. Agent: Let me review the details and see what’s going on. Customer: You’re not actually fixing the problem.
CALL_0087,2025-01-02T13:40:00,2025-01-02T13:53:00,billing enquiry,"Customer: This is getting beyond a joke because my discount has disappeared. Agent: I appreciate your patience, I’ll do my best to help. Customer: That’s not good enough."
CALL_0088,2025-01-02T14:00:00,2025-01-02T14:06:00,technical support,"Customer: Hi there, I’m calling because everything has been working well because the app isn’t working properly. Agent: Let me review the details and see what’s going on. Customer: Thanks, that answers my question."
CALL_0089,2025-01-02T14:20:00,2025-01-02T14:29:00,general enquiry,Customer: I’ve lost my patience at this point because I just need clarification on my inclusions. Agent: Let me review the details and see what’s going on. Customer: This is exactly why I’m so annoyed.
CALL_0090,2025-01-02T14:40:00,2025-01-02T14:51:00,network fault,"Customer: I’m extremely unhappy with the service because the NBN connection is unstable every night. Agent: Thanks for explaining that, let me check your account. Customer: You’re not actually fixing the problem."
CALL_0091,2025-01-02T15:00:00,2025-01-02T15:16:00,general enquiry,"Customer: Good morning, I’m pretty happy overall but had a quick question because I want to understand my current plan. Agent: Thanks for explaining that, let me check your account. Customer: I appreciate you clearing that up."
CALL_0092,2025-01-02T15:20:00,2025-01-02T15:26:00,general enquiry,"Customer: Hello, I just wanted to check a small detail because I just need clarification on my inclusions. Agent: I understand, I’ll look into this for you now. Customer: Okay, that makes sense, thanks for explaining."
CALL_0093,2025-01-02T15:40:00,2025-01-02T15:56:00,service activation,"Customer: Hey, I’m calling to confirm some information because I’m waiting for my service to go live. Agent: I can see why that would be frustrating. Customer: I appreciate you clearing that up."
CALL_0094,2025-01-02T16:00:00,2025-01-02T16:05:00,network fault,"Customer: Hey, I’m calling to confirm some information because the mobile signal keeps dropping. Agent: I can see why that would be frustrating. Customer: Okay, that makes sense, thanks for explaining."
CALL_0095,2025-01-02T16:20:00,2025-01-02T16:25:00,plan change,"Customer: Good morning, I’m pretty happy overall but had a quick question because the plan change hasn’t taken effect. Agent: I understand, I’ll look into this for you now. Customer: Thanks, that answers my question."
CALL_0096,2025-01-02T16:40:00,2025-01-02T16:56:00,plan change,"Customer: Hi there, I’m calling because everything has been working well because I recently changed plans. Agent: I appreciate your patience, I’ll do my best to help. Customer: That sounds reasonable to me."
CALL_0097,2025-01-02T17:00:00,2025-01-02T17:12:00,general enquiry,"Customer: I’m angry because this keeps happening because I’m checking contract end dates. Agent: Thanks for explaining that, let me check your account. Customer: You’re not actually fixing the problem."
CALL_0098,2025-01-02T17:20:00,2025-01-02T17:30:00,technical support,"Customer: I’m really frustrated and honestly fed up because the router lights look wrong. Agent: Thanks for explaining that, let me check your account. Customer: You’re not actually fixing the problem."
CALL_0099,2025-01-02T17:40:00,2025-01-02T17:54:00,network fault,"Customer: This is getting beyond a joke because the mobile signal keeps dropping. Agent: I appreciate your patience, I’ll do my best to help. Customer: You’re not actually fixing the problem."
CALL_0100,2025-01-02T18:00:00,2025-01-02T18:17:00,network fault,Customer: I’ve lost my patience at this point because the NBN connection is unstable every night. Agent: I can see why that would be frustrating. Customer: You’re not actually fixing the problem.
